model,id,active_energy,meter_date,meter_id
energies.energy,1,594.55,2022-10-12 02:50:06,"22,051,237"
energies.energy,2,594.72,2022-10-12 02:50:36,"22,051,237"
energies.energy,3,594.89,2022-10-12 02:53:06,"22,051,237"
energies.energy,4,595.79,2022-10-12 02:53:37,"22,051,237"
energies.energy,5,595.95,2022-10-12 02:54:06,"22,051,237"
energies.energy,6,596.11,2022-10-12 02:56:37,"22,051,237"
energies.energy,7,596.94,2022-10-12 02:57:05,"22,051,237"
energies.energy,8,597.09,2022-10-12 02:57:35,"22,051,237"
energies.energy,9,597.25,2022-10-12 02:58:06,"22,051,237"
energies.energy,10,597.42,2022-10-12 02:58:35,"22,051,237"
energies.energy,11,597.56,2022-10-12 02:59:07,"22,051,237"
energies.energy,12,597.73,2022-10-12 02:59:35,"22,051,237"
energies.energy,13,613.64,2022-10-12 03:53:07,"22,051,237"
energies.energy,14,615.75,2022-10-12 03:53:36,"22,051,237"
energies.energy,15,615.89,2022-10-12 03:54:06,"22,051,237"
energies.energy,16,616.06,2022-10-12 03:54:36,"22,051,237"
energies.energy,17,616.22,2022-10-12 03:55:06,"22,051,237"
energies.energy,18,616.4,2022-10-12 03:55:35,"22,051,237"
energies.energy,19,616.56,2022-10-12 03:56:07,"22,051,237"
energies.energy,20,616.74,2022-10-12 03:56:35,"22,051,237"
energies.energy,21,616.89,2022-10-12 03:57:07,"22,051,237"
energies.energy,22,617.08,2022-10-12 03:57:35,"22,051,237"
energies.energy,23,617.24,2022-10-12 03:58:05,"22,051,237"
energies.energy,24,617.41,2022-10-12 03:58:37,"22,051,237"
energies.energy,25,617.58,2022-10-12 03:59:04,"22,051,237"
energies.energy,26,617.72,2022-10-12 03:59:37,"22,051,237"
energies.energy,27,633.77,2022-10-12 04:50:07,"22,051,237"
energies.energy,28,634.01,2022-10-12 04:50:36,"22,051,237"
energies.energy,29,634.23,2022-10-12 04:51:07,"22,051,237"
energies.energy,30,634.43,2022-10-12 04:51:37,"22,051,237"
energies.energy,31,634.6,2022-10-12 04:52:06,"22,051,237"
energies.energy,32,634.77,2022-10-12 04:52:37,"22,051,237"
energies.energy,33,634.91,2022-10-12 04:53:07,"22,051,237"
energies.energy,34,635.05,2022-10-12 04:53:35,"22,051,237"
energies.energy,35,635.17,2022-10-12 04:54:06,"22,051,237"
